user,type_bool,summary_bytes,total_byte_change,addition_or_deletion,isBotEdit,isMinor,isUnpatrolled,isNew,no_of_edits
Sandiego91,1,0,1,0,0,0,0,0,13
Ale jrb,1,136,3,0,0,1,0,0,156
Kov 93,1,25,56,1,0,0,0,0,42
Staberinde,1,47,987,0,0,0,0,0,2
.227.228.3,1,19,24,1,0,0,0,0,1
A02:C7F:1E1A:BE00:EC88:4730:A9B:14EB,1,13,6,0,0,0,0,0,1
Wykx,1,18,0,0,0,0,0,0,32
8.187.112.4,1,0,1,0,0,0,0,0,1
.161.91.219,1,0,3,0,0,0,0,0,2
Xxx shrek69 xxx,1,0,14,1,0,1,0,0,1
Ale jrb,1,59,855,1,0,0,0,0,157
Mac Dreamstate,1,20,18,0,0,1,0,0,21
Zzuuzz,1,125,51,0,0,1,0,0,10
.69.125.76,1,30,85,1,0,0,0,0,1
Jo-Jo Eumerus,1,55,174,1,0,0,0,0,26
Atitarev,1,38,180,1,0,0,0,0,33
Hzh,1,165,13,0,0,0,0,0,40
Winkelvi,0,33,834,1,0,0,0,0,14
Ale jrb,1,112,154,0,0,1,0,0,159
Ale jrb,1,64,865,1,0,0,0,0,159
.116.24.142,1,0,0,0,0,0,0,0,1
4.111.25.134,1,16,1,0,0,0,0,0,1
Evermore2,1,19,2,0,0,1,0,0,5
Vicedomino,1,10,288,1,0,0,0,0,65
.159.72.134,1,13,14,1,0,0,0,0,23
Toddst1,1,25,88,1,0,0,0,0,124
82vdven,1,0,57,1,0,0,0,0,65
.195.238.183,1,17,2,1,0,0,0,0,3
Insertcleverphrasehere,1,254,677,0,0,0,0,0,9
Equinox,1,3,45,1,0,0,0,0,164
Doug Weller,1,242,39,0,0,0,0,0,34
Charleydrgreen,1,21,521,1,0,0,0,0,17
Stillnotelf,1,29,47,0,0,0,0,0,1
A02:C7D:C549:2500:3D2A:E3E1:C4A7:2661,1,0,2,1,0,0,0,0,4
Ale jrb,1,130,0,0,0,1,0,0,161
Ale jrb,1,48,1205,1,0,0,0,1,161
Not with all those rocks about,1,80,812,1,0,0,0,0,3
Ppt1973,1,11,562,1,0,0,0,0,10
ClueBot NG,1,190,18,0,0,1,0,0,1527
ClueBot NG,1,64,1269,1,0,0,0,1,1527
Kendall-K1,1,16,1,0,0,1,0,0,25
Paulinho28,1,11,9,0,0,0,0,0,34
TheMightyPeanut,1,43,14,0,0,1,0,0,378
00:8800:7387:4A00:BC2C:9AC:1AED:4AE,1,22,27,1,0,0,0,0,1
.72.234.61,1,0,23,1,0,0,0,0,1
Grafen,1,88,2,0,0,1,0,0,15
Staberinde,1,0,25,0,0,0,0,0,3
Graeme Bartlett,0,4,59,1,0,1,0,0,120
Pegship,1,9,9,1,0,1,0,0,24
Stocktonwgsc,1,11,12,1,0,0,0,0,8
Ale jrb,1,130,10,0,0,1,0,0,163
Ale jrb,1,53,1217,1,0,0,0,1,163
.2.87.9,1,38,47,0,0,0,0,0,1
Allisonhargis,1,49,145,0,0,0,0,0,32
Erutuon,1,24,72,1,0,0,0,0,73
A02:C7F:1E1A:BE00:EC88:4730:A9B:14EB,1,13,1,0,0,0,0,0,2
TheMightyPeanut,1,43,14,0,0,1,0,0,379
Starcheerspeaksnewslostwars,0,0,6,0,0,0,0,0,145
JBVaughan,1,29,28,1,0,0,0,0,39
Ale jrb,1,60,989,1,0,0,0,1,164
Lz maor,0,49,462,1,0,0,0,0,1
J 1982,1,163,134,1,0,0,0,0,496
6.186.188.179,1,71,150,1,0,0,0,0,1
TheMightyPeanut,1,43,14,0,0,1,0,0,380
Fixuture,1,67,4,1,0,1,0,0,176
02:304:CF26:8FC0:9D12:459F:DA3A:8764,1,0,60,1,0,0,0,0,2
Beyoncetan,1,23,19,1,0,0,0,0,65
Constant314,0,114,534,1,0,0,0,0,4
Widr,1,83,881,1,0,0,0,0,135
TheMightyPeanut,1,43,14,0,0,1,0,0,381
Enredados,1,0,13,0,0,0,0,0,1
Grafen,1,58,1,1,0,1,0,0,16
.67.113.22,1,0,111,1,0,0,0,0,3
AvicBot,1,55,11,1,1,1,0,0,610
Cattus,1,22,24,1,0,0,0,0,3
TheMightyPeanut,1,43,14,0,0,1,0,0,382
Mindmatrix,1,127,22921,1,0,1,0,0,13
9.149.149.171,1,0,92,1,0,0,0,0,1
.148.132.89,1,0,118,1,0,0,0,0,5
Layusmen,1,0,44,1,0,1,0,0,5
Ibadibam,0,54,4,1,0,0,0,0,16
01:56A:F658:2200:285E:7072:3E5:B466,1,19,5,1,0,0,0,0,11
TheMightyPeanut,1,43,14,0,0,1,0,0,383
Wykx,1,18,51,0,0,0,0,0,33
Felipeedit,1,19,268,1,0,0,0,0,6
Grafen,1,58,3,0,0,1,0,0,17
Schumway007,1,0,1281,1,0,0,0,0,4
.61.211.195,1,0,1,1,0,0,0,0,4
TAnthony,1,59,368,0,0,0,0,0,114
TheMightyPeanut,1,43,14,0,0,1,0,0,384
00:8807:480A:1900:D139:C7C8:DD82:CDF8,1,26,4,1,0,0,0,0,1
Vicedomino,1,32,272,1,0,0,0,0,66
Grafen,1,77,1,0,0,1,0,0,18
